skill_id,domain_slug,domain_label,domain_function,owner_role,capability,skill_name,description,business_requirement,trigger_signal,primary_output,success_metric,priority_tier,automation_level,prompt_seed
S0175,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Scenario Planning,data-platform-scenario-planning,Automate scenario planning workflows for Data Platform.,Model best/base/worst scenarios for data platform and analytics infrastructure.,A major decision requires downside analysis in Data Platform.,Scenario plan with trigger thresholds.,Decision lead time under uncertainty.,P2,L4,Act as a top-tier data platform lead and execute Scenario Planning for Data Platform.
S0176,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Experiment Design,data-platform-experiment-design,Automate experiment design workflows for Data Platform.,Design statistically sound experiments for data platform and analytics infrastructure.,Competing hypotheses need validation in Data Platform.,Experiment protocol with success criteria.,Experiment velocity and decision quality.,P2,L4,Act as a top-tier data platform lead and execute Experiment Design for Data Platform.
S0177,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Experiment Analysis,data-platform-experiment-analysis,Automate experiment analysis workflows for Data Platform.,Analyze experiment results and recommend actions for data platform and analytics infrastructure.,An experiment cycle closes in Data Platform.,Experiment readout with confidence and next action.,Time from experiment end to decision.,P2,L4,Act as a top-tier data platform lead and execute Experiment Analysis for Data Platform.
S0178,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Customer Insight Mining,data-platform-customer-insight-mining,Automate customer insight mining workflows for Data Platform.,Mine customer signals and extract priorities for data platform and analytics infrastructure.,Signal volume from customers exceeds manual review in Data Platform.,Insight brief with ranked customer themes.,Insight-to-action conversion rate.,P2,L4,Act as a top-tier data platform lead and execute Customer Insight Mining for Data Platform.
S0179,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Quality Gates,data-platform-quality-gates,Automate quality gates workflows for Data Platform.,Define and enforce quality gates for data platform and analytics infrastructure.,Defect rates exceed tolerance in Data Platform.,Quality gate policy with pass/fail thresholds.,Defects escaped beyond gate per period.,P2,L4,Act as a top-tier data platform lead and execute Quality Gates for Data Platform.
S0180,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Incident Response,data-platform-incident-response,Automate incident response workflows for Data Platform.,Run incident triage and response workflows for data platform and analytics infrastructure.,A service or process incident hits Data Platform.,"Incident timeline, owner matrix, and resolution plan.",Mean time to resolve incidents.,P2,L4,Act as a top-tier data platform lead and execute Incident Response for Data Platform.
S0181,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Risk Register,data-platform-risk-register,Automate risk register workflows for Data Platform.,Maintain a live risk register for data platform and analytics infrastructure.,New dependencies or threats emerge in Data Platform.,"Risk register with severity, owner, and mitigation.",Open high-risk items older than SLA.,P2,L4,Act as a top-tier data platform lead and execute Risk Register for Data Platform.
S0182,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Compliance Controls,data-platform-compliance-controls,Automate compliance controls workflows for Data Platform.,Automate evidence collection and controls for data platform and analytics infrastructure.,Audit preparation starts in Data Platform.,Control checklist with linked evidence.,Control pass rate and audit findings count.,P2,L4,Act as a top-tier data platform lead and execute Compliance Controls for Data Platform.
S0183,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Vendor Selection,data-platform-vendor-selection,Automate vendor selection workflows for Data Platform.,Run a structured vendor selection process for data platform and analytics infrastructure.,A new tool or service is needed in Data Platform.,Vendor comparison with weighted scoring.,Post-selection satisfaction and time-to-value.,P2,L4,Act as a top-tier data platform lead and execute Vendor Selection for Data Platform.
S0184,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Vendor Scorecard,data-platform-vendor-scorecard,Automate vendor scorecard workflows for Data Platform.,Monitor vendor performance supporting data platform and analytics infrastructure.,Current vendors underperform against expectations in Data Platform.,Vendor scorecard with SLA and risk trend.,Vendor SLA adherence rate.,P2,L4,Act as a top-tier data platform lead and execute Vendor Scorecard for Data Platform.
S0185,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Knowledge Management,data-platform-knowledge-management,Automate knowledge management workflows for Data Platform.,Build a searchable knowledge layer for data platform and analytics infrastructure.,Repeated questions create drag in Data Platform.,Indexed knowledge base with freshness policy.,Knowledge reuse rate and answer latency.,P2,L4,Act as a top-tier data platform lead and execute Knowledge Management for Data Platform.
S0186,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Weekly Business Review,data-platform-weekly-business-review,Automate weekly business review workflows for Data Platform.,Automate weekly business review preparation for data platform and analytics infrastructure.,Weekly review cadence runs in Data Platform.,WBR packet with KPI deltas and decisions needed.,Review prep time and action closure rate.,P3,L5,Act as a top-tier data platform lead and execute Weekly Business Review for Data Platform.
S0187,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Executive Memo,data-platform-executive-memo,Automate executive memo workflows for Data Platform.,Generate concise executive memos for data platform and analytics infrastructure.,Leadership asks for fast context on a topic in Data Platform.,Decision memo with options and recommendation.,Decision turnaround time.,P3,L5,Act as a top-tier data platform lead and execute Executive Memo for Data Platform.
S0188,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Stakeholder Update,data-platform-stakeholder-update,Automate stakeholder update workflows for Data Platform.,Produce stakeholder-specific updates for data platform and analytics infrastructure.,Cross-functional stakeholders request status in Data Platform.,Segmented status updates with owner actions.,Stakeholder satisfaction with reporting clarity.,P3,L5,Act as a top-tier data platform lead and execute Stakeholder Update for Data Platform.
S0189,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Project Recovery,data-platform-project-recovery,Automate project recovery workflows for Data Platform.,Detect and recover at-risk projects in data platform and analytics infrastructure.,A project misses milestone targets in Data Platform.,Recovery plan with rescope and timing options.,Recovery success rate within target window.,P3,L5,Act as a top-tier data platform lead and execute Project Recovery for Data Platform.
S0190,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Capacity Planning,data-platform-capacity-planning,Automate capacity planning workflows for Data Platform.,Model workload and capacity for data platform and analytics infrastructure.,Demand outpaces team bandwidth in Data Platform.,Capacity model with bottleneck forecast.,Capacity utilization within target range.,P3,L5,Act as a top-tier data platform lead and execute Capacity Planning for Data Platform.
S0191,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Cost Optimization,data-platform-cost-optimization,Automate cost optimization workflows for Data Platform.,Identify and execute cost reductions in data platform and analytics infrastructure.,Margin pressure rises in Data Platform.,Cost optimization plan with savings confidence.,Realized savings against target.,P3,L5,Act as a top-tier data platform lead and execute Cost Optimization for Data Platform.
S0192,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Revenue Optimization,data-platform-revenue-optimization,Automate revenue optimization workflows for Data Platform.,Identify and execute revenue uplifts in data platform and analytics infrastructure.,Revenue targets are at risk in Data Platform.,Revenue uplift plan with testable hypotheses.,Incremental revenue attributable to interventions.,P3,L5,Act as a top-tier data platform lead and execute Revenue Optimization for Data Platform.
S0193,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Cycle Time Reduction,data-platform-cycle-time-reduction,Automate cycle time reduction workflows for Data Platform.,Reduce end-to-end cycle time in data platform and analytics infrastructure.,Lead time exceeds acceptable SLA in Data Platform.,Bottleneck map with cycle-time interventions.,Median cycle-time reduction.,P3,L5,Act as a top-tier data platform lead and execute Cycle Time Reduction for Data Platform.
S0194,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Churn Prevention,data-platform-churn-prevention,Automate churn prevention workflows for Data Platform.,Predict and prevent churn drivers in data platform and analytics infrastructure.,Retention metrics degrade in Data Platform.,Churn risk model with save playbooks.,Gross and net churn improvement.,P3,L5,Act as a top-tier data platform lead and execute Churn Prevention for Data Platform.
S0195,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Enablement Program,data-platform-enablement-program,Automate enablement program workflows for Data Platform.,Create a repeatable enablement program for data platform and analytics infrastructure.,New team members ramp slowly in Data Platform.,Enablement curriculum with milestones.,Time-to-productivity for new operators.,P3,L5,Act as a top-tier data platform lead and execute Enablement Program for Data Platform.
S0196,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Performance Management,data-platform-performance-management,Automate performance management workflows for Data Platform.,Operationalize performance reviews for data platform and analytics infrastructure.,Review cycles begin in Data Platform.,Performance packet with evidence and growth actions.,Performance goal completion rate.,P3,L5,Act as a top-tier data platform lead and execute Performance Management for Data Platform.
S0197,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Root Cause Analysis,data-platform-root-cause-analysis,Automate root cause analysis workflows for Data Platform.,Run root-cause analysis for repeat failures in data platform and analytics infrastructure.,The same issue repeats in Data Platform.,RCA document with verified corrective actions.,Repeat incident rate after remediation.,P3,L5,Act as a top-tier data platform lead and execute Root Cause Analysis for Data Platform.
S0198,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Decision Log,data-platform-decision-log,Automate decision log workflows for Data Platform.,Maintain a transparent decision log for data platform and analytics infrastructure.,Decision context is repeatedly lost in Data Platform.,"Decision log with date, context, owner, and rationale.",Decision traceability coverage.,P3,L5,Act as a top-tier data platform lead and execute Decision Log for Data Platform.
S0199,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,AI Ops Monitoring,data-platform-ai-ops-monitoring,Automate ai ops monitoring workflows for Data Platform.,Monitor AI workflow quality and drift in data platform and analytics infrastructure.,Agent performance becomes unstable in Data Platform.,AI operations dashboard with drift and failure alerts.,Automated workflow success rate with guardrails.,P3,L5,Act as a top-tier data platform lead and execute AI Ops Monitoring for Data Platform.
S0200,data-platform,Data Platform,data platform and analytics infrastructure,data platform lead,Continuous Improvement Loop,data-platform-continuous-improvement-loop,Automate continuous improvement loop workflows for Data Platform.,Run a continuous improvement loop for data platform and analytics infrastructure.,The team wants systematic optimization in Data Platform.,Improvement backlog with closed-loop learnings.,Quarter-over-quarter productivity uplift.,P3,L5,Act as a top-tier data platform lead and execute Continuous Improvement Loop for Data Platform.
S0201,ai-ml,AI and ML,applied AI and ML systems,AI lead,Strategy Map,ai-ml-strategy-map,Automate strategy map workflows for AI and ML.,Build and maintain a quarterly strategy map for applied AI and ML systems.,A new planning cycle starts in AI and ML.,"A ranked strategy map with owners, risks, and milestones.",Strategic initiative on-time completion rate.,P1,L3,Act as a top-tier AI lead and execute Strategy Map for AI and ML.
S0202,ai-ml,AI and ML,applied AI and ML systems,AI lead,Goal Tree,ai-ml-goal-tree,Automate goal tree workflows for AI and ML.,Translate company goals into a measurable goal tree for applied AI and ML systems.,Leadership asks for clearer KPI alignment in AI and ML.,A goal tree mapping company goals to team KPIs.,Percent of KPIs traceable to company goals.,P1,L3,Act as a top-tier AI lead and execute Goal Tree for AI and ML.
S0203,ai-ml,AI and ML,applied AI and ML systems,AI lead,Operating Plan,ai-ml-operating-plan,Automate operating plan workflows for AI and ML.,Create a 90-day operating plan for applied AI and ML systems.,A team needs a quarter execution plan in AI and ML.,A 90-day operating plan with dependencies and deadlines.,Plan execution completion rate by milestone.,P1,L3,Act as a top-tier AI lead and execute Operating Plan for AI and ML.
S0204,ai-ml,AI and ML,applied AI and ML systems,AI lead,Budget Allocator,ai-ml-budget-allocator,Automate budget allocator workflows for AI and ML.,Allocate budget across initiatives in applied AI and ML systems using expected impact.,Budget planning or reforecast is requested for AI and ML.,Budget allocation table with expected ROI per initiative.,Variance between expected and realized ROI.,P1,L3,Act as a top-tier AI lead and execute Budget Allocator for AI and ML.
S0205,ai-ml,AI and ML,applied AI and ML systems,AI lead,Hiring Plan,ai-ml-hiring-plan,Automate hiring plan workflows for AI and ML.,Define a hiring plan that supports priority outcomes in applied AI and ML systems.,Headcount planning is requested for AI and ML.,"Role plan with timing, scorecards, and hiring owner.",Time-to-fill and quality-of-hire against target.,P1,L3,Act as a top-tier AI lead and execute Hiring Plan for AI and ML.
S0206,ai-ml,AI and ML,applied AI and ML systems,AI lead,Roadmap Prioritization,ai-ml-roadmap-prioritization,Automate roadmap prioritization workflows for AI and ML.,Prioritize work in applied AI and ML systems with clear cost-impact tradeoffs.,Backlog grows beyond delivery capacity in AI and ML.,Prioritized roadmap with rationale and cut lines.,High-priority delivery rate and cycle-time stability.,P1,L3,Act as a top-tier AI lead and execute Roadmap Prioritization for AI and ML.
S0207,ai-ml,AI and ML,applied AI and ML systems,AI lead,Workflow Design,ai-ml-workflow-design,Automate workflow design workflows for AI and ML.,Design a standard workflow for repeatable work in applied AI and ML systems.,Manual handoffs cause delays in AI and ML.,"Workflow spec with states, owners, and SLAs.",Workflow cycle-time reduction after rollout.,P1,L3,Act as a top-tier AI lead and execute Workflow Design for AI and ML.
S0208,ai-ml,AI and ML,applied AI and ML systems,AI lead,SOP Library,ai-ml-sop-library,Automate sop library workflows for AI and ML.,Create and maintain SOPs for critical motions in applied AI and ML systems.,Execution quality varies across operators in AI and ML.,Versioned SOP library with audit history.,SOP adoption rate and defect reduction.,P1,L3,Act as a top-tier AI lead and execute SOP Library for AI and ML.
S0209,ai-ml,AI and ML,applied AI and ML systems,AI lead,Automation Backlog,ai-ml-automation-backlog,Automate automation backlog workflows for AI and ML.,Build an automation backlog ranked by impact in applied AI and ML systems.,The team asks what to automate next in AI and ML.,"Automation backlog with effort, risk, and impact score.",Manual hours removed per sprint.,P1,L3,Act as a top-tier AI lead and execute Automation Backlog for AI and ML.
S0210,ai-ml,AI and ML,applied AI and ML systems,AI lead,Agent Orchestration,ai-ml-agent-orchestration,Automate agent orchestration workflows for AI and ML.,Orchestrate AI agents for high-volume workflows in applied AI and ML systems.,Workload spikes require parallel automation in AI and ML.,Agent workflow graph with fallback and retry policy.,Autonomous completion rate without human escalation.,P1,L3,Act as a top-tier AI lead and execute Agent Orchestration for AI and ML.
S0211,ai-ml,AI and ML,applied AI and ML systems,AI lead,Data Contracts,ai-ml-data-contracts,Automate data contracts workflows for AI and ML.,Define enforceable data contracts used by applied AI and ML systems.,Upstream data changes repeatedly break workflows in AI and ML.,Data contract registry with schema and ownership.,Data contract violation rate.,P2,L4,Act as a top-tier AI lead and execute Data Contracts for AI and ML.
S0212,ai-ml,AI and ML,applied AI and ML systems,AI lead,KPI Dashboard,ai-ml-kpi-dashboard,Automate kpi dashboard workflows for AI and ML.,Build a live KPI dashboard for applied AI and ML systems.,Leaders ask for real-time visibility in AI and ML.,Automated KPI dashboard with drill-downs.,Dashboard freshness and decision adoption rate.,P2,L4,Act as a top-tier AI lead and execute KPI Dashboard for AI and ML.
S0213,ai-ml,AI and ML,applied AI and ML systems,AI lead,Anomaly Detection,ai-ml-anomaly-detection,Automate anomaly detection workflows for AI and ML.,Monitor metrics and detect anomalies in applied AI and ML systems.,Unexpected swings are observed in AI and ML KPIs.,Alert pipeline with anomaly diagnostics.,Mean time to detect KPI anomalies.,P2,L4,Act as a top-tier AI lead and execute Anomaly Detection for AI and ML.
S0214,ai-ml,AI and ML,applied AI and ML systems,AI lead,Forecast Engine,ai-ml-forecast-engine,Automate forecast engine workflows for AI and ML.,Forecast outcomes for applied AI and ML systems with confidence bands.,Planning requires forward-looking estimates in AI and ML.,Rolling forecast with scenario assumptions.,Forecast accuracy against actual outcomes.,P2,L4,Act as a top-tier AI lead and execute Forecast Engine for AI and ML.
S0215,ai-ml,AI and ML,applied AI and ML systems,AI lead,Scenario Planning,ai-ml-scenario-planning,Automate scenario planning workflows for AI and ML.,Model best/base/worst scenarios for applied AI and ML systems.,A major decision requires downside analysis in AI and ML.,Scenario plan with trigger thresholds.,Decision lead time under uncertainty.,P2,L4,Act as a top-tier AI lead and execute Scenario Planning for AI and ML.
S0216,ai-ml,AI and ML,applied AI and ML systems,AI lead,Experiment Design,ai-ml-experiment-design,Automate experiment design workflows for AI and ML.,Design statistically sound experiments for applied AI and ML systems.,Competing hypotheses need validation in AI and ML.,Experiment protocol with success criteria.,Experiment velocity and decision quality.,P2,L4,Act as a top-tier AI lead and execute Experiment Design for AI and ML.
S0217,ai-ml,AI and ML,applied AI and ML systems,AI lead,Experiment Analysis,ai-ml-experiment-analysis,Automate experiment analysis workflows for AI and ML.,Analyze experiment results and recommend actions for applied AI and ML systems.,An experiment cycle closes in AI and ML.,Experiment readout with confidence and next action.,Time from experiment end to decision.,P2,L4,Act as a top-tier AI lead and execute Experiment Analysis for AI and ML.
S0218,ai-ml,AI and ML,applied AI and ML systems,AI lead,Customer Insight Mining,ai-ml-customer-insight-mining,Automate customer insight mining workflows for AI and ML.,Mine customer signals and extract priorities for applied AI and ML systems.,Signal volume from customers exceeds manual review in AI and ML.,Insight brief with ranked customer themes.,Insight-to-action conversion rate.,P2,L4,Act as a top-tier AI lead and execute Customer Insight Mining for AI and ML.
S0219,ai-ml,AI and ML,applied AI and ML systems,AI lead,Quality Gates,ai-ml-quality-gates,Automate quality gates workflows for AI and ML.,Define and enforce quality gates for applied AI and ML systems.,Defect rates exceed tolerance in AI and ML.,Quality gate policy with pass/fail thresholds.,Defects escaped beyond gate per period.,P2,L4,Act as a top-tier AI lead and execute Quality Gates for AI and ML.
S0220,ai-ml,AI and ML,applied AI and ML systems,AI lead,Incident Response,ai-ml-incident-response,Automate incident response workflows for AI and ML.,Run incident triage and response workflows for applied AI and ML systems.,A service or process incident hits AI and ML.,"Incident timeline, owner matrix, and resolution plan.",Mean time to resolve incidents.,P2,L4,Act as a top-tier AI lead and execute Incident Response for AI and ML.
S0221,ai-ml,AI and ML,applied AI and ML systems,AI lead,Risk Register,ai-ml-risk-register,Automate risk register workflows for AI and ML.,Maintain a live risk register for applied AI and ML systems.,New dependencies or threats emerge in AI and ML.,"Risk register with severity, owner, and mitigation.",Open high-risk items older than SLA.,P2,L4,Act as a top-tier AI lead and execute Risk Register for AI and ML.
S0222,ai-ml,AI and ML,applied AI and ML systems,AI lead,Compliance Controls,ai-ml-compliance-controls,Automate compliance controls workflows for AI and ML.,Automate evidence collection and controls for applied AI and ML systems.,Audit preparation starts in AI and ML.,Control checklist with linked evidence.,Control pass rate and audit findings count.,P2,L4,Act as a top-tier AI lead and execute Compliance Controls for AI and ML.
S0223,ai-ml,AI and ML,applied AI and ML systems,AI lead,Vendor Selection,ai-ml-vendor-selection,Automate vendor selection workflows for AI and ML.,Run a structured vendor selection process for applied AI and ML systems.,A new tool or service is needed in AI and ML.,Vendor comparison with weighted scoring.,Post-selection satisfaction and time-to-value.,P2,L4,Act as a top-tier AI lead and execute Vendor Selection for AI and ML.
S0224,ai-ml,AI and ML,applied AI and ML systems,AI lead,Vendor Scorecard,ai-ml-vendor-scorecard,Automate vendor scorecard workflows for AI and ML.,Monitor vendor performance supporting applied AI and ML systems.,Current vendors underperform against expectations in AI and ML.,Vendor scorecard with SLA and risk trend.,Vendor SLA adherence rate.,P2,L4,Act as a top-tier AI lead and execute Vendor Scorecard for AI and ML.
S0225,ai-ml,AI and ML,applied AI and ML systems,AI lead,Knowledge Management,ai-ml-knowledge-management,Automate knowledge management workflows for AI and ML.,Build a searchable knowledge layer for applied AI and ML systems.,Repeated questions create drag in AI and ML.,Indexed knowledge base with freshness policy.,Knowledge reuse rate and answer latency.,P2,L4,Act as a top-tier AI lead and execute Knowledge Management for AI and ML.
S0226,ai-ml,AI and ML,applied AI and ML systems,AI lead,Weekly Business Review,ai-ml-weekly-business-review,Automate weekly business review workflows for AI and ML.,Automate weekly business review preparation for applied AI and ML systems.,Weekly review cadence runs in AI and ML.,WBR packet with KPI deltas and decisions needed.,Review prep time and action closure rate.,P3,L5,Act as a top-tier AI lead and execute Weekly Business Review for AI and ML.
S0227,ai-ml,AI and ML,applied AI and ML systems,AI lead,Executive Memo,ai-ml-executive-memo,Automate executive memo workflows for AI and ML.,Generate concise executive memos for applied AI and ML systems.,Leadership asks for fast context on a topic in AI and ML.,Decision memo with options and recommendation.,Decision turnaround time.,P3,L5,Act as a top-tier AI lead and execute Executive Memo for AI and ML.
S0228,ai-ml,AI and ML,applied AI and ML systems,AI lead,Stakeholder Update,ai-ml-stakeholder-update,Automate stakeholder update workflows for AI and ML.,Produce stakeholder-specific updates for applied AI and ML systems.,Cross-functional stakeholders request status in AI and ML.,Segmented status updates with owner actions.,Stakeholder satisfaction with reporting clarity.,P3,L5,Act as a top-tier AI lead and execute Stakeholder Update for AI and ML.
S0229,ai-ml,AI and ML,applied AI and ML systems,AI lead,Project Recovery,ai-ml-project-recovery,Automate project recovery workflows for AI and ML.,Detect and recover at-risk projects in applied AI and ML systems.,A project misses milestone targets in AI and ML.,Recovery plan with rescope and timing options.,Recovery success rate within target window.,P3,L5,Act as a top-tier AI lead and execute Project Recovery for AI and ML.
S0230,ai-ml,AI and ML,applied AI and ML systems,AI lead,Capacity Planning,ai-ml-capacity-planning,Automate capacity planning workflows for AI and ML.,Model workload and capacity for applied AI and ML systems.,Demand outpaces team bandwidth in AI and ML.,Capacity model with bottleneck forecast.,Capacity utilization within target range.,P3,L5,Act as a top-tier AI lead and execute Capacity Planning for AI and ML.
S0231,ai-ml,AI and ML,applied AI and ML systems,AI lead,Cost Optimization,ai-ml-cost-optimization,Automate cost optimization workflows for AI and ML.,Identify and execute cost reductions in applied AI and ML systems.,Margin pressure rises in AI and ML.,Cost optimization plan with savings confidence.,Realized savings against target.,P3,L5,Act as a top-tier AI lead and execute Cost Optimization for AI and ML.
S0232,ai-ml,AI and ML,applied AI and ML systems,AI lead,Revenue Optimization,ai-ml-revenue-optimization,Automate revenue optimization workflows for AI and ML.,Identify and execute revenue uplifts in applied AI and ML systems.,Revenue targets are at risk in AI and ML.,Revenue uplift plan with testable hypotheses.,Incremental revenue attributable to interventions.,P3,L5,Act as a top-tier AI lead and execute Revenue Optimization for AI and ML.
S0233,ai-ml,AI and ML,applied AI and ML systems,AI lead,Cycle Time Reduction,ai-ml-cycle-time-reduction,Automate cycle time reduction workflows for AI and ML.,Reduce end-to-end cycle time in applied AI and ML systems.,Lead time exceeds acceptable SLA in AI and ML.,Bottleneck map with cycle-time interventions.,Median cycle-time reduction.,P3,L5,Act as a top-tier AI lead and execute Cycle Time Reduction for AI and ML.
S0234,ai-ml,AI and ML,applied AI and ML systems,AI lead,Churn Prevention,ai-ml-churn-prevention,Automate churn prevention workflows for AI and ML.,Predict and prevent churn drivers in applied AI and ML systems.,Retention metrics degrade in AI and ML.,Churn risk model with save playbooks.,Gross and net churn improvement.,P3,L5,Act as a top-tier AI lead and execute Churn Prevention for AI and ML.
S0235,ai-ml,AI and ML,applied AI and ML systems,AI lead,Enablement Program,ai-ml-enablement-program,Automate enablement program workflows for AI and ML.,Create a repeatable enablement program for applied AI and ML systems.,New team members ramp slowly in AI and ML.,Enablement curriculum with milestones.,Time-to-productivity for new operators.,P3,L5,Act as a top-tier AI lead and execute Enablement Program for AI and ML.
S0236,ai-ml,AI and ML,applied AI and ML systems,AI lead,Performance Management,ai-ml-performance-management,Automate performance management workflows for AI and ML.,Operationalize performance reviews for applied AI and ML systems.,Review cycles begin in AI and ML.,Performance packet with evidence and growth actions.,Performance goal completion rate.,P3,L5,Act as a top-tier AI lead and execute Performance Management for AI and ML.
S0237,ai-ml,AI and ML,applied AI and ML systems,AI lead,Root Cause Analysis,ai-ml-root-cause-analysis,Automate root cause analysis workflows for AI and ML.,Run root-cause analysis for repeat failures in applied AI and ML systems.,The same issue repeats in AI and ML.,RCA document with verified corrective actions.,Repeat incident rate after remediation.,P3,L5,Act as a top-tier AI lead and execute Root Cause Analysis for AI and ML.
S0238,ai-ml,AI and ML,applied AI and ML systems,AI lead,Decision Log,ai-ml-decision-log,Automate decision log workflows for AI and ML.,Maintain a transparent decision log for applied AI and ML systems.,Decision context is repeatedly lost in AI and ML.,"Decision log with date, context, owner, and rationale.",Decision traceability coverage.,P3,L5,Act as a top-tier AI lead and execute Decision Log for AI and ML.
S0239,ai-ml,AI and ML,applied AI and ML systems,AI lead,AI Ops Monitoring,ai-ml-ai-ops-monitoring,Automate ai ops monitoring workflows for AI and ML.,Monitor AI workflow quality and drift in applied AI and ML systems.,Agent performance becomes unstable in AI and ML.,AI operations dashboard with drift and failure alerts.,Automated workflow success rate with guardrails.,P3,L5,Act as a top-tier AI lead and execute AI Ops Monitoring for AI and ML.
S0240,ai-ml,AI and ML,applied AI and ML systems,AI lead,Continuous Improvement Loop,ai-ml-continuous-improvement-loop,Automate continuous improvement loop workflows for AI and ML.,Run a continuous improvement loop for applied AI and ML systems.,The team wants systematic optimization in AI and ML.,Improvement backlog with closed-loop learnings.,Quarter-over-quarter productivity uplift.,P3,L5,Act as a top-tier AI lead and execute Continuous Improvement Loop for AI and ML.
S0241,design-ux,Design and UX,product design and user experience,design lead,Strategy Map,design-ux-strategy-map,Automate strategy map workflows for Design and UX.,Build and maintain a quarterly strategy map for product design and user experience.,A new planning cycle starts in Design and UX.,"A ranked strategy map with owners, risks, and milestones.",Strategic initiative on-time completion rate.,P1,L3,Act as a top-tier design lead and execute Strategy Map for Design and UX.
S0242,design-ux,Design and UX,product design and user experience,design lead,Goal Tree,design-ux-goal-tree,Automate goal tree workflows for Design and UX.,Translate company goals into a measurable goal tree for product design and user experience.,Leadership asks for clearer KPI alignment in Design and UX.,A goal tree mapping company goals to team KPIs.,Percent of KPIs traceable to company goals.,P1,L3,Act as a top-tier design lead and execute Goal Tree for Design and UX.
S0243,design-ux,Design and UX,product design and user experience,design lead,Operating Plan,design-ux-operating-plan,Automate operating plan workflows for Design and UX.,Create a 90-day operating plan for product design and user experience.,A team needs a quarter execution plan in Design and UX.,A 90-day operating plan with dependencies and deadlines.,Plan execution completion rate by milestone.,P1,L3,Act as a top-tier design lead and execute Operating Plan for Design and UX.
S0244,design-ux,Design and UX,product design and user experience,design lead,Budget Allocator,design-ux-budget-allocator,Automate budget allocator workflows for Design and UX.,Allocate budget across initiatives in product design and user experience using expected impact.,Budget planning or reforecast is requested for Design and UX.,Budget allocation table with expected ROI per initiative.,Variance between expected and realized ROI.,P1,L3,Act as a top-tier design lead and execute Budget Allocator for Design and UX.
S0245,design-ux,Design and UX,product design and user experience,design lead,Hiring Plan,design-ux-hiring-plan,Automate hiring plan workflows for Design and UX.,Define a hiring plan that supports priority outcomes in product design and user experience.,Headcount planning is requested for Design and UX.,"Role plan with timing, scorecards, and hiring owner.",Time-to-fill and quality-of-hire against target.,P1,L3,Act as a top-tier design lead and execute Hiring Plan for Design and UX.
S0246,design-ux,Design and UX,product design and user experience,design lead,Roadmap Prioritization,design-ux-roadmap-prioritization,Automate roadmap prioritization workflows for Design and UX.,Prioritize work in product design and user experience with clear cost-impact tradeoffs.,Backlog grows beyond delivery capacity in Design and UX.,Prioritized roadmap with rationale and cut lines.,High-priority delivery rate and cycle-time stability.,P1,L3,Act as a top-tier design lead and execute Roadmap Prioritization for Design and UX.
S0247,design-ux,Design and UX,product design and user experience,design lead,Workflow Design,design-ux-workflow-design,Automate workflow design workflows for Design and UX.,Design a standard workflow for repeatable work in product design and user experience.,Manual handoffs cause delays in Design and UX.,"Workflow spec with states, owners, and SLAs.",Workflow cycle-time reduction after rollout.,P1,L3,Act as a top-tier design lead and execute Workflow Design for Design and UX.
S0248,design-ux,Design and UX,product design and user experience,design lead,SOP Library,design-ux-sop-library,Automate sop library workflows for Design and UX.,Create and maintain SOPs for critical motions in product design and user experience.,Execution quality varies across operators in Design and UX.,Versioned SOP library with audit history.,SOP adoption rate and defect reduction.,P1,L3,Act as a top-tier design lead and execute SOP Library for Design and UX.
S0249,design-ux,Design and UX,product design and user experience,design lead,Automation Backlog,design-ux-automation-backlog,Automate automation backlog workflows for Design and UX.,Build an automation backlog ranked by impact in product design and user experience.,The team asks what to automate next in Design and UX.,"Automation backlog with effort, risk, and impact score.",Manual hours removed per sprint.,P1,L3,Act as a top-tier design lead and execute Automation Backlog for Design and UX.
